folder,bee_id,cue,P,U,dop,dop_strength,exit_angle_deg,inner_exit_angle_deg,path_len_cm,displacement_cm,straightness,mean_speed_cms,max_radius_cm
2024-12-18 16-30-31.R13.TB.P 2.5 U 1,R13,TB,2.5,1.0,0.12,strong,8.969987987609443,8.969987987609443,10610.369820443102,75.83653426812174,0.007147397833580386,10.915614952293817,180.2337513835852
2024-12-18 16-44-56.R8.TB.P 1.5 U 1,R8,TB,1.5,1.0,0.08,weak,11.299279915757836,11.299279915757836,1255.9654040422943,72.87049807267685,0.058019510599690814,10.491241050119331,172.1607453554962
2024-12-18 16-47-46.R 5.TB.P 1.5 U 1,R5,TB,1.5,1.0,0.08,weak,35.11921651414923,35.11921651414923,3642.3593991341468,6.140325593972995,0.0016858099163505555,13.028194657660425,179.6559384111753
2025-01-31 14-06-32.W 54TB P 4.4 U 1,W54,unknown,4.4,1.0,0.15,strong,298.5382132647048,276.9875046366541,1313.5255832309788,21.808051199499683,0.01660268477288182,10.137705410821642,109.23323079136676
2025-02-05 14-34-51.G 48 TB P 4.4 U 1,G48,TB,4.4,1.0,0.15,strong,257.489346198217,47.93970893603216,2136.4989547234572,16.861537458962644,0.007892134663433597,12.337925180760768,81.52920047124219
2025-02-05 14-37-28.R 71 LR P 4.4 U 1,R71,LR,4.4,1.0,0.12,strong,254.54536423164285,254.54536423164285,1420.721263537372,48.96051394378944,0.03446173095339298,14.960374081496326,72.0148039061414
2025-02-06 14-17-40.G 4 LR P 4.4 U 1,G4,LR,4.4,1.0,0.12,strong,260.19839501131855,260.19839501131855,18146.533806364518,71.5228958320341,0.00394140812759233,12.324112165963433,173.52855947134466
2025-02-06 14-28-57. R 16 LR P 4.4 U 1,R16,LR,4.4,1.0,0.12,strong,270.15601326317915,270.15601326317915,9487.327682917075,149.49905644357764,0.015757762505954793,12.134507706826046,177.43403285029623
2025-02-07 13-06-28. G 4 LR P 4.4 U 1 ,G4,LR,4.4,1.0,0.12,strong,303.1550680264063,303.1550680264063,1565.7679823081082,15.028918477388865,0.009598432620415858,3.0545724223270123,15.255995890141044
2025-02-07 13-28-29.G 48 LR P 4.4 U 1,G48,LR,4.4,1.0,0.12,strong,7.436255602571578,88.22327683893735,23643.073871766464,65.79248015905769,0.0027827380025075427,17.313434414668546,168.67010001028632
2025-02-07 15-57-45.G 46 LR P 4.4 U 1,G46,LR,4.4,1.0,0.12,strong,84.19797894714645,84.19797894714645,25030.53930838989,150.59578481139505,0.0060164818247011335,13.422935708752906,177.62932646091977
2025-02-07 16-10-41.G 57 TB P 8 U 8,G57,TB,8.0,8.0,0.07,weak,345.70945760916675,345.70945760916675,25155.802737418613,20.848882331674282,0.000828790182102283,10.85871497311067,171.46376339763455
2025-02-10 14-58-35.G 4 TB P 4.4 U 1,G4,TB,4.4,1.0,0.15,strong,49.93324965442673,197.1525687887364,7105.7311633739455,102.12740996422067,0.014372540645870496,8.536611823324858,127.52590768153738
2025-02-16 12-00-30.G 41 TB P 4.4 U 1,G41,TB,4.4,1.0,0.15,strong,229.49319487723022,229.49319487723022,27269.259922914945,148.80308567029113,0.005456806898717801,12.512660394818013,171.9987997196492
2025-02-16 12-24-12.G 49 TB P 4.4 U 1,G49,TB,4.4,1.0,0.15,strong,18.48068694396318,214.01767984605362,11111.4940375675,63.04876862937137,0.00567419362474624,13.829882075471698,173.17004346502893
2025-02-16 12-33-41.G 57 P 8 U 2,G57,unknown,8.0,2.0,0.12,strong,12.068065729362615,12.068065729362615,13938.278015535026,86.34624377933295,0.006194900380312045,12.654377749842865,171.36386790335936
2025-02-16 12-42-45.unmarkedTB P 8 U 2,unknown,unknown,8.0,2.0,0.12,strong,218.5796144768774,218.5796144768774,38339.70097752532,26.01931320308051,0.0006786519597096753,10.880603202456678,173.74079670463126
2025-02-16 12-56-55.unmarked TB P 8 U 2,unknown,TB,8.0,2.0,0.12,strong,219.84179260942426,219.84179260942426,13953.339820196214,148.65797743410883,0.010653935140240739,16.998505747126437,174.08639629448365
2025-02-16 13-05-47.unmarked TB P 8 U 2,unknown,TB,8.0,2.0,0.12,strong,221.1863573276864,221.1863573276864,8966.307551095593,74.68356286653709,0.008329355472243588,14.31265388302972,172.51353457175472
2025-02-27 16-18-53.W 5 TB P 8 U 8,W5,TB,8.0,8.0,0.07,weak,300.58577058341024,300.58577058341024,4137.508333204923,119.56367513003269,0.028897506784576896,11.569953150396787,120.21193186452003
2025-02-27 16-34-49.W 21 LR P 8 U 8,W21,LR,8.0,8.0,0.05,weak,354.0913714581073,354.0913714581073,9636.71765204552,50.44139608615131,0.0052342922048198084,12.04648652472236,120.6838654962626
2025-02-27 16-52-49.W 36 TB P 7.7 U 8,W36,TB,7.7,8.0,0.08,weak,10.013682772331777,294.8083744514678,2808.3321273138145,50.413368214790005,0.017951355441356103,12.61681554770318,120.06810851662485
2025-02-27 17-03-28.W 21 LR P 7.7 U 8,W21,LR,7.7,8.0,0.05,weak,353.9523706854235,303.57709908329656,3570.310248158954,120.63021062138621,0.033787038726841655,10.722301830881575,120.66783441563872
2025-02-27 17-27-51.W 36 TB P 0 U 8,W36,TB,0.0,8.0,0.07,weak,10.025783478382266,10.025783478382266,2883.500737410628,51.17165257210285,0.01774636361565657,14.090461296129613,133.20496003888144
2025-02-27 17-35-32.W 36 LR P 0 U 8,W36,LR,0.0,8.0,0.07,weak,353.79510262767866,353.79510262767866,1090.6417940040876,24.304703256777284,0.022284771581645615,9.253742606567409,120.53935437192288
2025-02-27 17-38-26.W 36 LR P 0 U 8,W36,LR,0.0,8.0,0.07,weak,9.719810775594624,9.719810775594624,872.7975994708581,50.70539812879887,0.05809525388193036,14.293610755441742,120.14430303347721
2025-02-28 12-40-59.W 36 TB P 0.1 U 8,W36,TB,0.1,8.0,0.05,weak,322.1434299892434,322.1434299892434,1132.7744155036523,40.970014815227984,0.036167849709963625,10.970744978388,52.76568989371788
2025-02-28 12-49-43.W 36 LR P 0.1 U 8,W36,LR,0.1,8.0,0.05,weak,327.44605108478214,327.44605108478214,2691.2217993091763,22.46024411087288,0.008345742486419483,13.614663006029284,50.128905887920595
2025-02-28 12-57-17.W 36 TB P 0.1 U 8,W36,TB,0.1,8.0,0.05,weak,101.4862713920541,302.40538289087,2949.205712480085,36.6144915682302,0.012415034805232308,3.5115405092998,53.25474255688409
